date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume,label
2012-08-08,"US Stock Futures Down Ahead Of Economic Data, Earnings",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2012-12-03,"Benzinga's M&A Chatter for Monday December 3, 2012",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2013-01-23,David Einhorn's Q4 Letter to Greenlight Holders,CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2013-02-01,"The Week Ahead: Earnings from Visa, Coke, Sprint; ECB Decision",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2013-02-05,"Earnings Scheduled For February 5, 2013",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2013-02-05,US Stock Futures Up Ahead Of ISM Data,CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2013-05-15,"Market Wrap for Wednesday, May 15: Bull Market Continues as Dow and S&P Hit New Highs",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2013-05-15,"Earnings Scheduled For May 15, 2013 ",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2013-08-06,"Earnings Scheduled For August 6, 2013",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2013-08-15,SLIDESHOW: Whale Watchers Pile In as Hedge Funds File 13Fs; Many Funds Showing QoQ Declines,CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2013-08-15,SLIDESHOW: Whale Watchers Pile In As Hedge Funds File 13Fs; Many Funds Showing QoQ Declines,CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2013-10-30,"Earnings Scheduled For October 30, 2013",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2014-01-30,"Earnings Scheduled For January 30, 2014",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2014-11-05,Hedge Fund Guru Einhorn Posts 4% Loss For Q3,CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2014-11-06,"Earnings Scheduled For November 6, 2014",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2015-02-24,"Benzinga's M&A Chatter for Tuesday February 24, 2015",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2015-04-14,US Stock Futures Down Ahead Of Business Inventories Data,CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2015-05-19,"Earnings Scheduled For May 19, 2015",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2015-05-19,10 Stocks You Should Be Watching Today,CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2015-05-20,"10 Stocks To Watch For May 20, 2015",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2015-12-09,"Copy of Early Global News . Wednesday . December 9, 2015",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2015-12-09,"Early Global News: Google May Return To China, Dow Chemical/DuPont In Talks To Merge",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2016-02-09,"Earnings Scheduled For February 9, 2016",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2016-07-05,"Jefferies On Hewlett Packard Enterprise: Acquisitions Unlikely, But Dividend Raise Possible",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2017-01-26,ServiceNow's Beat And Raise Quarter Tops Even The Most Bullish Expectations,CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2017-02-02,"Earnings Scheduled For February 2, 2017",CSC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2017-02-03,18 Biggest Mid-Day Gainers For Friday,CSC,0.0,,0.0,0.0,0.0,0.0,0.0,,,2
2017-02-03,10 Stocks You Should Be Watching Today,CSC,0.0,,0.0,0.0,0.0,0.0,0.0,,,2
